Sex,Length,Height,Whole.weight,binaryClass
F,0.625,0.175,1.362,N
I,0.625,0.15,1.044,P
M,0.63,0.17,1.0915,P
F,0.63,0.18,1.1965,P
M,0.63,0.17,1.1745,N
M,0.63,0.165,1.233,N
M,0.63,0.175,1.2695,N
I,0.635,0.165,1.489,N
M,0.635,0.17,1.4345,N
F,0.635,0.175,1.2435,N
F,0.635,0.17,1.2615,P
F,0.64,0.165,1.2235,N
M,0.64,0.18,1.247,N
M,0.64,0.185,1.707,N
M,0.645,0.15,1.1605,N
M,0.645,0.175,1.286,N
M,0.645,0.19,1.5595,N
M,0.645,0.19,1.4745,P
M,0.645,0.195,1.226,N
M,0.645,0.16,1.33,P
F,0.645,0.16,1.2415,P
M,0.645,0.175,1.3375,N
F,0.645,0.19,1.363,N
M,0.645,0.15,1.2215,P
F,0.645,0.19,1.371,N
F,0.65,0.155,1.337,P
M,0.65,0.19,1.274,N
M,0.65,0.185,1.488,N
M,0.65,0.16,1.3835,P
M,0.655,0.18,1.274,N
F,0.655,0.15,1.043,P
F,0.655,0.19,1.3485,N
F,0.655,0.195,1.4405,N
M,0.66,0.165,1.3195,P
F,0.66,0.175,1.5175,N
M,0.66,0.195,1.5505,N
M,0.66,0.165,1.6375,N
M,0.665,0.175,1.443,N
M,0.665,0.16,1.289,N
F,0.665,0.16,1.2915,N
M,0.665,0.175,1.3725,N
M,0.665,0.175,1.2975,P
M,0.67,0.16,1.2585,N
M,0.67,0.165,1.39,N
F,0.67,0.19,1.32,N
F,0.67,0.155,1.566,N
F,0.67,0.195,1.619,N
M,0.675,0.16,1.2835,N
F,0.675,0.195,1.382,N
M,0.68,0.195,1.4535,N
F,0.68,0.2,1.6075,N
M,0.685,0.15,1.3735,N
F,0.685,0.175,1.638,N
F,0.69,0.2,1.569,N
M,0.7,0.175,1.8565,N
F,0.7,0.175,1.773,N
F,0.705,0.17,1.58,N
M,0.71,0.215,2.009,N
F,0.71,0.195,1.9805,N
F,0.71,0.205,1.5805,N
M,0.71,0.22,2.015,N
M,0.72,0.2,1.8275,N
M,0.72,0.205,2.125,N
F,0.72,0.18,1.445,P
F,0.725,0.21,2.1425,N
F,0.73,0.19,1.9425,N
M,0.735,0.215,1.747,N
F,0.74,0.205,2.119,N
F,0.75,0.215,1.938,N
M,0.75,0.205,2.2205,N
M,0.77,0.195,2.5155,N
M,0.775,0.25,2.7795,N
I,0.275,0.09,0.2315,P
I,0.375,0.1,0.394,P
F,0.375,0.135,0.597,P
M,0.39,0.125,0.564,P
I,0.435,0.12,0.5965,P
M,0.445,0.12,0.414,P
I,0.455,0.105,0.422,P
I,0.455,0.135,0.82,P
I,0.455,0.11,0.434,P
I,0.465,0.14,0.7615,N
M,0.465,0.115,0.5795,P
I,0.485,0.105,0.5205,P
M,0.485,0.155,0.968,P
I,0.485,0.16,0.869,P
F,0.49,0.16,0.8795,P
M,0.5,0.15,1.0615,P
M,0.515,0.155,0.9225,P
M,0.515,0.135,1.007,P
M,0.525,0.17,0.9605,N
M,0.525,0.125,0.65,P
M,0.53,0.14,0.7545,P
F,0.535,0.135,0.771,P
I,0.535,0.18,1.0835,P
I,0.545,0.165,0.8935,P
F,0.545,0.2,1.358,N
F,0.545,0.15,1.1185,P
F,0.55,0.165,1.205,N
M,0.55,0.16,1.3405,N
M,0.57,0.175,1.02,P
M,0.575,0.185,1.025,N
I,0.575,0.13,0.8145,N
F,0.58,0.17,1.48,N
M,0.585,0.145,0.953,N
I,0.585,0.15,0.8915,P
M,0.6,0.175,1.3005,N
M,0.6,0.165,1.038,P
M,0.605,0.175,1.2525,P
M,0.605,0.15,1.15,N
F,0.61,0.15,1.1135,N
F,0.615,0.145,1.1155,N
M,0.62,0.145,1.0865,N
M,0.625,0.175,1.254,P
M,0.625,0.185,1.169,N
M,0.635,0.195,1.172,N
F,0.635,0.15,1.1845,N
F,0.64,0.14,1.0725,P
M,0.645,0.16,1.3815,P
M,0.65,0.19,1.6125,N
M,0.65,0.16,1.7395,N
F,0.655,0.2,1.5475,P
M,0.655,0.19,1.4245,N
F,0.665,0.185,1.3405,N
F,0.675,0.175,1.4465,N
F,0.685,0.175,1.5845,P
F,0.695,0.185,1.679,N
M,0.695,0.19,1.726,N
F,0.705,0.18,1.5395,N
F,0.72,0.195,2.073,P
M,0.72,0.18,1.5865,N
M,0.73,0.21,2.069,N
I,0.185,0.04,0.027,P
I,0.24,0.055,0.0555,P
I,0.31,0.075,0.1275,P
I,0.34,0.085,0.1885,P
I,0.35,0.08,0.2,P
I,0.365,0.085,0.197,P
I,0.365,0.085,0.223,P
I,0.365,0.075,0.2215,P
I,0.39,0.105,0.2665,P
I,0.405,0.09,0.269,P
I,0.41,0.095,0.2805,P
I,0.41,0.105,0.3305,P
I,0.415,0.09,0.2815,P
I,0.415,0.1,0.2805,P
I,0.415,0.095,0.311,P
I,0.42,0.1,0.368,N
I,0.43,0.1,0.3405,P
I,0.435,0.1,0.3245,P
I,0.435,0.11,0.38,P
I,0.435,0.105,0.335,P
I,0.435,0.12,0.3215,P
I,0.445,0.11,0.358,P
I,0.465,0.11,0.445,P
I,0.47,0.12,0.487,P
I,0.475,0.105,0.4535,P
I,0.485,0.13,0.568,P
I,0.485,0.12,0.5155,P
I,0.485,0.115,0.457,P
I,0.495,0.135,0.5095,P
I,0.495,0.145,0.5,P
I,0.495,0.14,0.494,P
I,0.5,0.11,0.5605,P
I,0.505,0.13,0.599,N
I,0.505,0.145,0.7045,P
F,0.51,0.12,0.7005,N
I,0.515,0.135,0.7125,N
I,0.515,0.15,0.6725,N
M,0.515,0.11,0.5785,P
I,0.52,0.11,0.5185,P
I,0.52,0.14,0.6375,P
I,0.52,0.125,0.5805,P
I,0.52,0.115,0.6645,P
I,0.52,0.115,0.581,N
I,0.525,0.12,0.596,P
I,0.525,0.145,0.6965,P
I,0.525,0.145,0.6095,P
I,0.53,0.14,0.677,P
I,0.53,0.16,0.7245,P
I,0.53,0.13,0.575,P
I,0.53,0.12,0.632,P
I,0.535,0.14,1.0015,P
F,0.54,0.16,0.9455,P
I,0.54,0.135,0.6555,P
I,0.54,0.125,0.6255,P
I,0.545,0.14,0.8145,N
I,0.545,0.14,0.687,P
I,0.55,0.14,0.7995,N
I,0.55,0.13,0.804,P
M,0.555,0.14,0.7495,P
M,0.555,0.125,0.599,P
M,0.555,0.13,0.7075,P
I,0.555,0.175,0.738,P
M,0.555,0.135,0.837,P
I,0.56,0.165,0.832,P
F,0.565,0.125,0.8305,N
M,0.565,0.125,0.667,P
M,0.565,0.155,0.9355,N
I,0.565,0.145,0.8445,P
M,0.565,0.16,0.895,P
I,0.565,0.155,0.8715,N
M,0.57,0.155,1.0005,N
M,0.57,0.155,0.832,N
M,0.57,0.175,0.9415,P
M,0.57,0.13,0.88,N
F,0.57,0.12,0.803,P
M,0.575,0.13,0.785,P
M,0.575,0.155,0.9765,P
M,0.575,0.135,0.992,N
M,0.575,0.155,1.013,N
M,0.575,0.145,0.876,N
F,0.575,0.175,1.099,P
I,0.575,0.135,0.8715,N
I,0.575,0.135,0.8245,N
F,0.575,0.155,0.7955,P
M,0.575,0.145,0.857,P
F,0.58,0.195,0.8265,P
F,0.58,0.165,0.925,N
M,0.58,0.15,1.0465,N
I,0.58,0.145,0.7905,N
M,0.58,0.16,0.8295,P
M,0.595,0.15,0.886,N
F,0.6,0.135,0.97,N
M,0.6,0.17,1.1805,N
M,0.6,0.15,0.99,N
F,0.6,0.16,1.133,N
I,0.605,0.165,1.071,N
F,0.605,0.145,0.862,P
M,0.605,0.18,1.1155,N
M,0.61,0.14,1.031,P
F,0.61,0.145,1.1185,N
F,0.61,0.155,0.957,P
F,0.61,0.165,1.1785,N
M,0.615,0.145,1.0285,N
M,0.615,0.15,1.0875,P
F,0.615,0.16,1.255,N
M,0.615,0.2,1.219,N
M,0.62,0.16,1.035,N
M,0.62,0.15,1.195,P
F,0.62,0.17,1.062,N
M,0.62,0.195,1.5145,N
M,0.62,0.15,1.309,P
M,0.62,0.155,1.0295,N
M,0.625,0.155,1.0485,N
M,0.625,0.17,1.331,P
M,0.625,0.185,1.1565,N
F,0.625,0.16,1.09,N
F,0.625,0.18,1.354,N
F,0.625,0.145,0.984,N
M,0.63,0.155,1.2525,P
F,0.635,0.165,1.2695,N
F,0.635,0.165,1.3405,N
F,0.635,0.155,1.2895,N
M,0.635,0.16,1.195,N
M,0.635,0.165,1.273,N
M,0.635,0.165,1.229,N
M,0.64,0.165,1.1895,N
F,0.64,0.145,1.1145,N
F,0.64,0.165,1.3115,N
I,0.64,0.135,1.1,N
M,0.64,0.155,1.1285,P
F,0.64,0.185,1.4195,N
F,0.645,0.18,1.6195,N
M,0.645,0.175,1.32,N
F,0.645,0.21,1.5535,N
I,0.65,0.15,1.238,N
F,0.65,0.155,1.189,N
F,0.65,0.185,1.375,N
F,0.655,0.18,1.412,N
F,0.655,0.175,1.348,N
M,0.655,0.17,1.1445,P
F,0.66,0.205,1.4415,N
M,0.66,0.175,1.218,N
F,0.665,0.15,1.2475,N
M,0.665,0.2,1.2695,N
M,0.665,0.18,1.429,N
F,0.67,0.205,1.4015,N
M,0.675,0.15,1.312,N
F,0.675,0.185,1.473,N
M,0.68,0.19,1.623,N
M,0.68,0.155,1.534,N
M,0.685,0.155,1.3845,N
M,0.69,0.18,1.6915,N
M,0.695,0.185,1.5715,N
F,0.7,0.205,1.773,N
M,0.7,0.175,1.4405,N
M,0.7,0.195,1.6245,N
F,0.705,0.22,1.866,N
F,0.72,0.18,1.6705,N
M,0.72,0.19,2.081,N
F,0.725,0.205,1.6195,N
F,0.75,0.195,1.8325,N
M,0.76,0.215,2.173,N
I,0.135,0.04,0.029,P
I,0.16,0.025,0.0195,P
I,0.21,0.055,0.0465,P
I,0.28,0.075,0.1195,P
I,0.28,0.065,0.0895,P
I,0.285,0.06,0.0935,P
I,0.29,0.07,0.1115,P
I,0.29,0.06,0.1195,P
I,0.29,0.065,0.097,P
I,0.32,0.07,0.133,P
I,0.325,0.07,0.1745,P
I,0.335,0.08,0.1695,P
I,0.35,0.08,0.17,P
I,0.35,0.07,0.1605,P
I,0.355,0.105,0.271,P
I,0.36,0.085,0.2185,P
I,0.36,0.085,0.196,P
I,0.375,0.08,0.226,P
I,0.375,0.085,0.22,P
I,0.395,0.095,0.3,P
I,0.405,0.09,0.2875,P
I,0.415,0.11,0.316,P
I,0.425,0.095,0.3675,P
I,0.43,0.11,0.3675,P
I,0.435,0.12,0.346,P
M,0.45,0.105,0.4955,P
I,0.46,0.11,0.4675,P
M,0.47,0.135,0.522,N
I,0.47,0.105,0.441,N
I,0.475,0.12,0.5185,P
M,0.505,0.12,0.653,P
M,0.505,0.135,0.5915,N
M,0.505,0.115,0.4825,N
I,0.51,0.135,0.6855,P
M,0.515,0.14,0.6335,P
M,0.525,0.13,0.6875,P
F,0.53,0.15,0.741,P
F,0.53,0.13,0.6355,P
M,0.545,0.14,0.8395,N
F,0.55,0.15,0.9205,N
F,0.56,0.16,0.8215,P
M,0.565,0.145,0.9255,P
F,0.57,0.15,0.8295,N
M,0.58,0.16,1.063,P
M,0.59,0.165,1.115,N
F,0.6,0.14,0.837,N
M,0.605,0.14,0.982,N
M,0.61,0.16,1.112,N
F,0.625,0.18,1.3485,N
M,0.66,0.195,1.5655,P
I,0.255,0.06,0.086,P
I,0.27,0.065,0.1065,P
I,0.28,0.08,0.132,P
I,0.285,0.07,0.1075,P
I,0.32,0.085,0.1745,P
I,0.325,0.07,0.152,P
I,0.385,0.1,0.2755,P
I,0.395,0.1,0.293,P
F,0.4,0.16,0.368,P
I,0.405,0.09,0.312,P
I,0.415,0.12,0.336,P
I,0.42,0.115,0.355,P
I,0.44,0.115,0.379,P
I,0.445,0.12,0.378,P
M,0.45,0.13,0.4655,P
F,0.455,1.13,0.594,P
M,0.46,0.12,0.4935,P
M,0.46,0.11,0.4595,P
M,0.465,0.11,0.4955,P
I,0.465,0.09,0.4325,P
F,0.475,0.14,0.689,P
I,0.48,0.135,0.5465,P
M,0.485,0.135,0.617,P
I,0.49,0.11,0.538,P
M,0.5,0.135,0.7815,P
F,0.5,0.14,0.6355,P
M,0.505,0.13,0.6435,P
M,0.525,0.1,0.5115,P
M,0.535,0.125,0.738,P
F,0.535,0.13,0.699,P
F,0.54,0.14,0.7655,N
F,0.54,0.13,0.7505,P
F,0.545,0.16,0.844,P
M,0.55,0.13,0.8705,P
I,0.55,0.115,0.668,N
F,0.565,0.135,0.83,P
M,0.58,0.12,0.8685,P
F,0.58,0.15,0.839,P
F,0.585,0.15,1.079,N
M,0.595,0.15,0.919,P
F,0.6,0.19,1.1345,N
F,0.61,0.14,0.909,P
M,0.61,0.165,1.2435,P
F,0.62,0.16,1.056,P
M,0.645,0.15,1.2095,P
M,0.65,0.14,1.238,P
F,0.665,0.21,1.644,N
M,0.685,0.2,1.7725,N
F,0.69,0.195,1.2525,N
F,0.705,0.185,1.761,N
F,0.71,0.15,1.3165,N
M,0.72,0.22,1.914,N
F,0.72,0.215,2.1,N
F,0.73,0.18,1.6895,N
M,0.775,0.22,2.032,N
F,0.505,0.115,0.66,P
M,0.53,0.13,0.7455,N
F,0.505,0.115,0.616,N
I,0.405,0.09,0.2825,P
M,0.415,0.1,0.3355,P
M,0.5,0.145,0.651,N
M,0.425,0.08,0.361,P
M,0.47,0.1,0.4775,P
F,0.4,0.115,0.3465,N
I,0.37,0.1,0.25,N
M,0.5,0.155,0.66,N
I,0.41,0.11,0.315,P
M,0.375,0.1,0.276,P
F,0.49,0.125,0.5395,N
M,0.585,0.185,1.04,N
M,0.595,0.155,1.041,N
F,0.675,0.18,1.6885,N
M,0.665,0.225,2.1835,N
M,0.62,0.17,1.2105,N
I,0.325,0.055,0.166,P
I,0.455,0.08,0.452,P
M,0.525,0.13,0.7185,P
I,0.385,0.09,0.232,P
I,0.13,0.035,0.0105,P
I,0.18,0.045,0.0275,P
I,0.31,0.05,0.1445,P
F,0.375,0.08,0.282,P
F,0.48,0.12,0.608,P
I,0.455,0.125,0.433,P
M,0.425,0.1,0.3295,P
I,0.475,0.11,0.4555,P
F,0.435,0.12,0.4585,N
F,0.29,0.075,0.275,P
M,0.385,0.095,0.335,P
M,0.47,0.115,0.4265,P
F,0.5,0.125,0.5765,N
I,0.4,0.1,0.127,P
M,0.62,0.175,1.1505,N
M,0.595,0.15,0.8915,N
M,0.585,0.14,0.97,P
M,0.32,0.08,0.18,P
F,0.52,0.125,0.6985,N
M,0.44,0.11,0.4585,P
F,0.44,0.115,0.4005,P
M,0.565,0.1,0.7145,N
F,0.56,0.125,0.932,P
F,0.59,0.175,0.966,N
F,0.57,0.18,0.9995,N
M,0.68,0.205,1.496,N
F,0.45,0.125,0.5065,N
I,0.32,0.075,0.1735,P
I,0.46,0.11,0.3945,P
M,0.47,0.105,0.4665,N
M,0.455,0.105,0.401,P
F,0.415,0.115,0.3455,P
M,0.465,0.12,0.5205,N
M,0.46,0.135,0.4935,N
M,0.415,0.09,0.3245,P
M,0.27,0.07,0.106,P
M,0.445,0.11,0.4415,N
F,0.745,0.19,1.966,N
F,0.4,0.115,0.3025,P
I,0.28,0.075,0.1225,P
M,0.55,0.135,0.879,N
M,0.58,0.165,1.2275,N
M,0.61,0.165,1.2715,N
M,0.62,0.175,1.806,N
M,0.56,0.195,0.8085,N
F,0.64,0.2,1.3905,N
M,0.69,0.2,1.8465,N
F,0.715,0.24,2.1995,N
F,0.71,0.195,1.817,N
F,0.55,0.15,0.897,P
M,0.375,0.09,0.3245,P
F,0.61,0.16,1.136,P
I,0.38,0.085,0.2735,P
F,0.37,0.085,0.2405,P
M,0.335,0.085,0.1545,P
I,0.165,0.015,0.0145,P
M,0.285,0.075,0.1185,P
I,0.19,0.03,0.0295,P
I,0.215,0.03,0.0385,P
M,0.595,0.125,0.799,N
F,0.645,0.17,1.1845,N
M,0.575,0.185,0.925,N
F,0.57,0.17,1.098,N
F,0.58,0.235,1.071,N
F,0.595,0.2,0.975,N
F,0.595,0.25,1.283,N
F,0.625,0.165,1.0595,N
M,0.535,0.165,0.9195,N
M,0.55,0.16,0.9295,N
M,0.495,0.155,0.8085,P
I,0.32,0.08,0.1485,P
M,0.445,0.12,0.4475,P
F,0.52,0.125,0.6865,P
M,0.495,0.135,0.6335,N
M,0.47,0.135,0.547,N
F,0.49,0.14,0.585,N
M,0.58,0.165,0.927,N
M,0.645,0.185,1.4935,N
F,0.575,0.165,1.0405,N
I,0.215,0.055,0.0605,P
I,0.43,0.11,0.3675,N
I,0.26,0.08,0.099,P
I,0.37,0.09,0.233,N
I,0.405,0.105,0.3625,N
I,0.27,0.08,0.081,P
F,0.68,0.2,1.596,N
F,0.65,0.195,1.4005,N
F,0.645,0.215,1.406,N
M,0.57,0.16,0.9245,N
M,0.615,0.19,1.36,N
M,0.42,0.105,0.43,P
I,0.275,0.08,0.1365,P
F,0.29,0.075,0.14,P
M,0.42,0.115,0.4215,P
F,0.625,0.215,1.5765,N
F,0.55,0.18,1.2125,N
M,0.66,0.2,1.6305,N
M,0.565,0.195,1.142,N
F,0.595,0.235,1.366,N
M,0.63,0.23,1.539,N
F,0.43,0.12,0.445,P
F,0.455,0.14,0.5725,N
I,0.33,0.08,0.19,P
F,0.515,0.13,0.764,N
M,0.495,0.15,0.853,N
F,0.485,0.145,0.5885,N
F,0.535,0.145,0.7875,P
M,0.58,0.175,1.035,N
F,0.625,0.195,1.352,N
F,0.555,0.18,0.958,N
F,0.55,0.145,0.797,P
M,0.59,0.155,0.857,N
I,0.355,0.11,0.2235,P
I,0.275,0.075,0.086,P
F,0.505,0.175,0.692,N
M,0.37,0.095,0.2225,P
M,0.555,0.165,0.7575,N
F,0.505,0.165,0.729,P
F,0.56,0.18,0.903,P
M,0.595,0.17,1.0965,N
F,0.57,0.165,0.903,N
M,0.6,0.175,1.229,N
F,0.56,0.185,1.106,N
M,0.585,0.19,1.171,N
I,0.46,0.11,0.444,P
F,0.46,0.115,0.4755,P
M,0.415,0.125,0.388,N
F,0.435,0.12,0.3785,N
F,0.475,0.135,0.486,P
M,0.465,0.13,0.5265,N
I,0.355,0.1,0.2275,N
M,0.46,0.14,0.5105,P
F,0.38,0.11,0.3105,N
F,0.47,0.12,0.543,P
M,0.36,0.09,0.2225,P
F,0.585,0.165,0.998,N
M,0.655,0.2,1.5455,N
M,0.6,0.175,1.2675,N
F,0.57,0.17,1.1,N
F,0.645,0.2,1.4285,N
M,0.65,0.18,1.793,N
M,0.51,0.145,0.6185,N
M,0.52,0.135,0.5825,P
M,0.495,0.165,0.7485,N
M,0.43,0.115,0.406,P
F,0.59,0.16,1.1005,N
M,0.55,0.175,0.869,N
M,0.585,0.16,0.955,N
F,0.58,0.16,0.9215,N
F,0.62,0.15,1.456,N
I,0.59,0.16,0.893,N
F,0.72,0.215,2.226,N
F,0.635,0.175,1.2125,N
F,0.61,0.175,1.0675,N
F,0.545,0.175,0.8525,N
M,0.57,0.16,0.8615,N
F,0.6,0.18,1.162,N
F,0.52,0.17,0.8705,N
M,0.635,0.21,1.598,N
F,0.67,0.15,1.406,N
M,0.695,0.2,2.033,N
M,0.655,0.185,1.259,N
F,0.62,0.23,1.0935,N
F,0.6,0.18,1.1805,N
M,0.51,0.13,0.7175,P
M,0.525,0.135,0.7575,N
M,0.44,0.13,0.487,P
I,0.485,0.14,0.5705,P
F,0.495,0.13,0.6905,N
I,0.435,0.12,0.4475,P
I,0.405,0.105,0.347,P
I,0.42,0.1,0.352,P
F,0.5,0.15,0.7145,P
F,0.385,0.105,0.3315,P
I,0.33,0.09,0.18,P
F,0.58,0.155,0.974,N
I,0.325,0.1,0.185,P
M,0.475,0.12,0.563,N
F,0.38,0.09,0.3215,P
I,0.34,0.09,0.179,P
M,0.525,0.12,0.702,N
F,0.52,0.145,0.8045,N
F,0.535,0.135,0.8075,N
M,0.475,0.12,0.578,P
I,0.415,0.1,0.385,P
I,0.495,0.125,0.585,P
F,0.48,0.13,0.6375,N
F,0.52,0.15,0.813,N
M,0.46,0.13,0.5735,P
F,0.58,0.12,0.94,N
M,0.59,0.135,1.008,N
F,0.55,0.135,0.775,N
F,0.65,0.165,1.1445,N
F,0.465,0.135,0.6,N
M,0.455,0.13,0.515,N
M,0.47,0.13,0.5795,N
F,0.435,0.11,0.384,N
M,0.35,0.11,0.2965,P
I,0.315,0.07,0.137,P
M,0.595,0.145,0.991,N
F,0.58,0.135,0.925,N
M,0.575,0.15,0.805,N
M,0.535,0.155,0.8915,N
M,0.515,0.14,0.769,N
F,0.505,0.135,0.6185,N
F,0.505,0.145,0.6515,N
I,0.4,0.1,0.2875,N
M,0.49,0.135,0.5545,N
M,0.53,0.135,0.7365,N
I,0.395,0.105,0.306,P
F,0.665,0.19,1.496,N
F,0.415,0.105,0.3605,N
M,0.43,0.115,0.3045,N
M,0.475,0.135,0.592,N
F,0.525,0.145,0.7995,N
I,0.48,0.145,0.5825,N
I,0.42,0.115,0.3435,P
M,0.59,0.155,0.906,N
F,0.515,0.135,0.6295,P
M,0.695,0.22,1.5515,N
F,0.8,0.195,2.526,N
M,0.61,0.15,1.103,N
F,0.565,0.175,0.957,N
M,0.56,0.165,0.86,N
M,0.655,0.195,1.62,N
M,0.64,0.2,1.407,N
F,0.59,0.17,0.9,N
I,0.31,0.09,0.1455,P
I,0.255,0.07,0.075,P
I,0.17,0.055,0.0235,P
M,0.67,0.17,1.247,N
F,0.71,0.195,1.7265,N
F,0.56,0.125,0.8025,N
M,0.505,0.13,0.764,N
M,0.525,0.165,0.8645,N
F,0.45,0.105,0.4715,P
F,0.515,0.17,0.631,N
M,0.59,0.16,0.9455,N
M,0.7,0.19,1.3185,N
F,0.72,0.175,1.7265,N
M,0.635,0.15,1.081,N
M,0.555,0.135,0.9025,N
M,0.575,0.15,1.1415,N
M,0.585,0.125,1.027,N
F,0.61,0.21,1.3445,N
F,0.645,0.2,1.449,N
F,0.545,0.175,0.7745,N
M,0.55,0.155,0.7895,N
F,0.66,0.205,1.3665,N
M,0.57,0.195,1.0295,N
F,0.6,0.2,1.031,N
F,0.63,0.165,1.065,N
M,0.695,0.23,1.885,N
M,0.65,0.16,1.2425,N
F,0.72,0.225,1.969,N
I,0.56,0.17,0.9445,N
I,0.42,0.115,0.354,P
M,0.18,0.05,0.023,P
F,0.405,0.11,0.3575,N
F,0.5,0.15,0.5965,N
I,0.435,0.11,0.383,N
M,0.34,0.09,0.2065,N
F,0.43,0.11,0.382,P
I,0.535,0.155,0.6315,N
I,0.415,0.115,0.3285,N
F,0.36,0.09,0.2165,N
M,0.175,0.04,0.0305,P
M,0.155,0.025,0.024,P
I,0.525,0.15,0.7365,N
F,0.525,0.135,0.6005,N
F,0.44,0.105,0.4285,N
F,0.45,0.115,0.496,N
F,0.485,0.14,0.6195,N
I,0.47,0.135,0.567,N
I,0.515,0.14,0.6505,N
M,0.42,0.125,0.4495,N
F,0.455,0.125,0.4485,N
M,0.37,0.09,0.241,N
M,0.33,0.09,0.197,N
I,0.3,0.09,0.1425,P
I,0.625,0.16,1.2395,N
I,0.61,0.17,1.0385,N
I,0.625,0.155,0.972,N
I,0.635,0.19,1.3315,N
I,0.5,0.155,0.762,N
F,0.53,0.17,0.775,N
I,0.445,0.1,0.437,N
F,0.585,0.155,0.6985,N
I,0.44,0.165,0.435,N
M,0.29,0.08,0.1295,N
I,0.555,0.17,0.8435,N
I,0.655,0.145,1.25,N
F,0.58,0.185,1.017,N
I,0.625,0.175,1.411,N
I,0.62,0.17,1.208,N
F,0.64,0.15,1.0705,P
F,0.505,0.115,0.5895,N
I,0.5,0.12,0.537,P
M,0.31,0.095,0.15,P
F,0.505,0.145,0.651,N
I,0.42,0.11,0.28,P
M,0.4,0.105,0.287,N
M,0.425,0.125,0.3525,N
M,0.31,0.06,0.12,N
F,0.465,0.13,0.494,N
F,0.465,0.12,0.4765,N
M,0.35,0.085,0.2145,N
I,0.52,0.16,0.595,N
F,0.475,0.13,0.4805,N
F,0.41,0.11,0.321,N
M,0.26,0.065,0.096,P
I,0.575,0.17,0.9315,N
I,0.565,0.155,0.782,N
M,0.26,0.075,0.0945,P
F,0.53,0.125,0.6695,N
M,0.34,0.095,0.213,P
I,0.52,0.14,0.525,N
F,0.635,0.18,1.312,N
F,0.61,0.165,1.087,N
F,0.66,0.18,1.523,N
I,0.635,0.18,1.319,N
F,0.465,0.135,0.579,N
M,0.515,0.16,0.8175,N
I,0.335,0.095,0.17,P
F,0.515,0.17,0.796,N
F,0.345,0.1,0.197,P
M,0.465,0.125,0.5255,N
M,0.54,0.17,0.879,N
M,0.475,0.125,0.4625,P
F,0.445,0.14,0.4565,N
M,0.5,0.14,0.528,P
M,0.5,0.135,0.5835,N
F,0.55,0.17,0.884,N
I,0.275,0.08,0.096,P
F,0.35,0.09,0.1855,P
F,0.37,0.105,0.27,P
F,0.42,0.125,0.463,N
M,0.35,0.09,0.198,N
M,0.395,0.105,0.282,P
I,0.325,0.08,0.0995,P
I,0.275,0.065,0.092,P
I,0.235,0.065,0.0625,P
I,0.25,0.06,0.073,P
I,0.25,0.065,0.071,P
I,0.2,0.05,0.036,P
F,0.585,0.17,1.099,N
M,0.445,0.14,0.5905,N
F,0.5,0.13,0.768,N
M,0.44,0.08,0.413,P
M,0.515,0.14,0.8505,N
F,0.52,0.14,0.6915,N
M,0.5,0.13,0.709,N
M,0.425,0.12,0.3755,P
M,0.51,0.14,0.8185,N
F,0.37,0.08,0.227,P
M,0.54,0.13,0.8245,N
M,0.615,0.17,1.1825,N
M,0.565,0.175,1.122,N
M,0.645,0.175,1.6115,N
F,0.615,0.175,1.2985,N
M,0.605,0.145,1.3,N
F,0.59,0.165,1.161,N
M,0.645,0.155,1.489,N
M,0.57,0.155,1.008,N
F,0.47,0.18,0.441,P
F,0.5,0.155,0.742,N
F,0.52,0.145,0.7,N
M,0.39,0.095,0.271,P
M,0.52,0.165,0.8565,N
F,0.54,0.175,0.8975,N
M,0.46,0.135,0.6105,N
I,0.355,0.09,0.1925,P
F,0.49,0.145,0.6635,N
F,0.63,0.185,1.235,N
M,0.5,0.145,0.7615,N
M,0.49,0.135,0.592,N
M,0.44,0.115,0.39,P
F,0.515,0.165,0.7565,N
F,0.475,0.145,0.57,N
I,0.42,0.1,0.2865,P
M,0.4,0.13,0.2935,P
M,0.45,0.16,0.567,N
F,0.52,0.13,0.6245,N
M,0.505,0.155,0.8415,N
M,0.495,0.14,0.7775,N
M,0.54,0.145,0.989,N
F,0.48,0.125,0.6905,N
F,0.33,0.08,0.2,P
I,0.285,0.07,0.109,P
I,0.3,0.075,0.127,P
I,0.31,0.105,0.2885,P
I,0.34,0.075,0.18,P
I,0.375,0.075,0.144,P
I,0.415,0.1,0.4665,P
I,0.415,0.105,0.33,P
I,0.415,0.09,0.3625,P
I,0.42,0.1,0.34,P
I,0.425,0.105,0.365,P
M,0.465,0.11,0.5,P
F,0.465,0.135,0.6265,P
I,0.47,0.11,0.5555,P
F,0.47,0.12,0.6015,P
I,0.475,0.12,0.53,N
M,0.48,0.135,0.6315,P
M,0.5,0.13,0.7715,P
I,0.505,0.185,0.6125,P
M,0.525,0.19,0.872,P
M,0.54,0.12,0.8115,P
M,0.545,0.15,0.8795,N
F,0.565,0.15,0.983,P
M,0.58,0.18,1.145,N
M,0.59,0.16,1.09,P
M,0.59,0.16,1.262,P
M,0.595,0.185,1.185,N
F,0.6,0.135,1.4405,P
F,0.6,0.155,1.332,P
F,0.6,0.165,1.1405,P
M,0.605,0.175,1.201,N
F,0.625,0.155,1.33,N
M,0.63,0.185,1.362,N
M,0.64,0.195,1.647,N
F,0.64,0.18,1.4995,N
F,0.655,0.165,1.6225,N
I,0.66,0.215,1.786,N
